timestamp,model,serial,battery_level,memory_full_time,sampling_interval,logging_interval,advertising_freq
2023-02-22 16:37:14,AT-100,2741,100,2023-12-10 22:23:00,10,60,1
2023-02-22 16:42:42,AT-100,2741,100,2023-12-10 22:23:00,10,60,1
2023-02-22 16:45:08,AT-100,2741,100,2023-12-10 22:24:00,10,60,1
2023-02-22 16:46:54,AT-100,2741,100,2023-12-10 22:23:00,10,60,1
